"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"","1974-01-01",,2,"Ham Tran","Saigon, Vietnam",5.0
"",,,0,"Rich Cowan",,7.0
"",,,0,"Boris Rodriguez",,5.0
"",,,0,"Sadyk Sher-Niyaz",,135.0
"","1954-06-26",,0,"Paul Donovan",,4.0
"",,,0,"Jonathan Kesselman",,4.0
"",,,0,"Arjun Sablok",,0.0
"",,,0,"Tyler Oliver",,0.0
"",,,0,"Douglas Cheek",,4.0
"",,,0,"Deryck Broom",,11.0
"From Wikipedia, the free encyclopedia.   

Henry Hathaway (March 13, 1898     February 11, 1985) was an American film director and producer. He is best known as a director of Westerns, especially starring John Wayne.

Description above from the Wikipedia article   Henry Hathaway, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1898-03-13","1985-02-11",0,"Henry Hathaway","Sacramento, California, United States",83.0
"",,,2,"Giovanni Zelko",,4.0
"","1982-12-28",,0,"Claudia Sainte-Luce",,0.0
"From Wikipedia, the free encyclopedia

Jamie Babbit (born November 16, 1970) is an American film director, producer and screenwriter. She directed the films But I'm a Cheerleader, The Quiet and Itty Bitty Titty Committee. She has also directed episodes of television programs including Gilmore Girls, Malcolm in the Middle, Nip/Tuck and The L Word. She is involved with film production company POWER UP.

Description above from the Wikipedia article Jamie Babbit, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1970-11-16",,1,"Jamie Babbit","Shaker Heights, Ohio, USA",91.0
"",,,0,"David Boyd",,29.0
"",,,1,"Anna Muylaert",,9.0
"",,,2,"Steve Taylor",,14.0
"From Wikipedia, the free encyclopedia

Kurt Voss (born 1963) is an American film director, screenwriter and musician/songwriter. He often works with fellow UCLA alumnus Allison Anders. Voss's credits include: Border Radio, Poison Ivy: The New Seduction, Where The Day Takes You, and Sugar Town.

Born as Kurt Christopher Peter W  ssner, Voss is a founding member of the West Coast punk band The Hindi Guns

Description above from the Wikipedia article Kurt Voss, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Kurt Voss","Panorama City, California, USA",0.0
"",,,0,"James David Pasternak",,0.0
"","1961-04-07",,2,"Laurent Bouhnik",,0.0
"",,,0,"Tom Sanchez",,0.0
"From Wikipedia, the free encyclopedia

David Caffrey is an Irish-born film director. His most recent film is Grand Theft Parsons starring Johnny Knoxville and Christina Applegate. The film is an account of boomshakalakalaka urban myth within the death of folk rock legend, Gram Parsons.

Description above from the Wikipedia article David Caffrey, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"David Caffrey","Greystones, Co Wicklow, Ireland",4.0
"",,,2,"Adam Jay Epstein",,0.0
"",,,0,"Justin Thomas Ostensen",,0.0
"From Wikipedia, the free encyclopedia.

Brenton Spencer is a Canadian film and television director. His television credits include Earth: Final Conflict, Andromeda, 21 Jump Street, Mutant X, Poltergeist: The Legacy, Sanctuary, Stargate Atlantis and among other series. His film credits include Blown Away (1992) starring Corey Haim, Corey Feldman and Nicole Eggert, The Play (1994) starring J. H. Wyman and Kim Coates, Never Cry Werewolf (2008) starring Nina Dobrev and Paradox (2009) starring Kevin Sorbo, which was screened at the Cannes Independent Film Festival in 2010.

Description above from the Wikipedia article Brenton Spencer, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Brenton Spencer",,0.0
"From Wikipedia, the free encyclopedia.

Ossie Davis   (December 18, 1917     February 4, 2005) was an African-American film actor, director, poet, playwright, writer, and social activist.

Description above from the Wikipedia article Ossie Davis, licensed under CC-BY-SA, full list of contributors on Wikipedia","1917-12-18","2005-02-04",2,"Ossie Davis","Miami Beach, Florida, USA",282.0
"",,,0,"Jay Alaimo",,2.0
"",,,0,"Dylan Bank",,0.0
"",,,0,"Rob McKittrick",,6.0
"From Wikipedia, the free encyclopedia.   

Jeff Burr (born Aurora, Ohio in 1963) is an American film director, Writer and producer best known for his work in horror sequels, such as Stepfather II, The Texas Chainsaw Massacre III, Puppet Master 4 and 5, and Pumpkinhead II.

Burr attended the University of Southern California (USC) with R. A. Mihailoff who played Leatherface in Leatherface: The Texas Chainsaw Massacre III.

Description above from the Wikipedia article Jeff Burr, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Jeff Burr","Aurora, Ohio",155.0
"",,,0,"Harry Gantz",,0.0
"From Wikipedia, the free encyclopedia

Guy Maddin, CM OM (born February 28, 1956) is a Canadian screenwriter, director, author, cinematographer and film editor of both features and short films, as well as an installation artist, from Winnipeg, Manitoba. His most distinctive quality is his penchant for recreating the look and style of silent or early sound era films which has solidified his popularity and acclaim in alternative film circles. Since completing his first film in 1985, Maddin has become one of Canada's most well-known and celebrated film-makers.

Maddin has directed eleven feature films and numerous short films, in addition to publishing three books and creating a host of installation art projects. A number of Maddin's recent films began as or developed from installation art projects, and his books also relate to his film work. Maddin has been the subject of much critical praise and academic attention, including two books of interviews with Maddin and two book-length academic studies of his work. Maddin was appointed to the Order of Canada, the country's highest civilian honour, in 2012.[2]

Maddin is Visiting Lecturer on Visual and Environmental Studies, 2015   16, at Harvard University.

Description above from the Wikipedia article Guy Maddin, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1956-02-28",,2,"Guy Maddin","Winnipeg, Manitoba, Canada",126.0
"","1952-09-02",,2,"Regardt van den Bergh","Johannesburg, South Africa",12.0
"","1964",,0,"Panos Cosmatos",,22.0
"",,,0,"Gareth Evans",,338.0
"",,,0,"Matthew R. Anderson",,252.0
"",,,0,"Joe Marino",,0.0
"",,,2,"Joel Anderson",,0.0
"",,,0,"Shimit Amin",,6.0
"From Wikipedia, the free encyclopedia.   

Douglas Huntley Trumbull (born April 8, 1942, Los Angeles) is an American film director, special effects supervisor, and inventor. He contributed to, or was responsible for, the special photographic effects of 2001: A Space Odyssey, Close Encounters of the Third Kind, Star Trek: The Motion Picture and Blade Runner, and directed the movies Silent Running and Brainstorm.

Description above from the Wikipedia article  Douglas Trumbull   licensed under CC-BY-SA, full list of contributors on Wikipedia.","1942-04-08",,2,"Douglas Trumbull","Los Angeles, CA",136.0
"",,,0,"Levan Gabriadze",,6.0
"",,,0,"Bradley Parker",,18.0
"From Wikipedia, the free encyclopedia.

Clive Barker (born 5 October 1952) is an English author, film director and visual artist best known for his work in both fantasy and horror fiction. Barker came to prominence in the mid-1980s with a series of short stories which established him as a leading young horror writer. He has since written many novels and other works, and his fiction has been adapted into motion pictures, notably the Hellraiser and Candyman series.

Description above from the Wikipedia article Clive Barker, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1952-10-05",,2,"Clive Barker","Liverpool, England, UK",385.0
"","1974-10-27",,2,"Harold Cronk","Reed City, Michigan",18.0
"From Wikipedia, the free encyclopedia

Takao Okawara (born December 20, 1949 in Tokyo, Japan) is a Japanese film director, writer and producer.

Description above from the Wikipedia article Takao Okawara, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1949-12-20",,2,"Takao Okawara","Tokyo, Japan",2.0
"From Wikipedia, the free encyclopedia

Duncan Tucker is an American film director and screenwriter.

Tucker was born in Arizona and graduated from New York University. After the short subject film The Mountain King, which was screened at over 31 international festivals, he wrote and directed his first feature film, Transamerica. Tucker's hobbies include writing and painting. His tale Many Fish is published by Ascent, and his photos and pictures are exhibited at many New York art galleries.

Description above from the Wikipedia article Duncan Tucker, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Duncan Tucker","Dodge City, Kansas, USA",2.0
"From Wikipedia, the free encyclopedia.

Russell Albion ""Russ"" Meyer (March 21, 1922     September 18, 2004) was a U.S. motion picture director, producer, screenwriter, cinematographer, editor, actor and photographer.

Meyer is known primarily for writing and directing a series of successful low-budget sexploitation films that featured campy humor, sly satire and large breasted women.

Description above from the Wikipedia article Russ Meyer, licensed under CC-BY-SA, full list of contributors on Wikipedia","1922-03-21","2004-09-18",0,"Russ Meyer","Oakland, California, USA",199.0
"From Wikipedia, the free encyclopedia

Robert D. Webb (8 January 1903     18 April 1990) was an American film director. He directed 16 films between 1945 and 1968.

Description above from the Wikipedia article Robert D. Webb, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1903-01-08","1990-04-18",2,"Robert D. Webb","Kentucky, USA",0.0
"","1885-04-03","1981-12-28",2,"Allan Dwan",,23.0
"",,,0,"Andrew Steggall",,0.0
"",,,2,"Ben Lewin",,20.0
"From Wikipedia, the free encyclopedia.

Robert Kenner is an American film and television screenwriter, television director, film director, film producer, and television producer.

His career began in 1971 as an assistant cinematographer, and produced his first motion picture, 3:15 - The Moment of Truth, in 1984 (although it was not released until 1986). His second feature film did not come until 1991's Lonely Hearts.

His first breakout project was the televised documentary The Lost Fleet of Guadalcanal, which he produced for the National Geographic Society and which aired in 1993 on PBS. The following year, he directed and produced Russia's Last Tsar for National Geographic and PBS. He also directed and produced America's Endangered Species: Don't Say Good-bye in 1996. The International Documentary Association presented the picture with the Strand Award for Best Documentary.

Kenner began a long association with the award-winning PBS documentary television program American Experience in 1998. That year he directed and produced the widely reviewed Influenza, 1918 (about the 1918 flu pandemic)and followed it up with John Brown's Holy War (about abolitionist John Brown) in 2001. His first documentary which he wrote, directed and produced was War Letters, which aired on American Experience in 2001. The documentary is based on the 2001 New York Times best-selling book War Letters: Extraordinary Correspondence from American Wars by historian Andrew Carroll. He produced the episode, ""The Road to Memphis, for the 2003 PBS documentary series, The Blues, and in 2005 produced and directed the Vietnam War documentary, Two Days in October. The documentary was the season premiere of American Experience. The film, which is based on David Maraniss' book They Marched into Sunlight, looks at the parallels between a Viet Cong ambush of a U.S. Army patrol (and the subsequent cover-up of the loss by the American military) and a violent clash between police and student protesters at the University of Wisconsin   Madison   events which occurred 24 hours apart in October 1967. The episode was nominated for and won the award for Exceptional Merit in Nonfiction Filmmaking at the 2006 Emmy Awards.

In 2008, Kenner produced and directed the documentary film, Food, Inc., which examines large-scale agricultural food production in the United States, concluding that the meat and vegetables produced by this type of economic enterprise leads to inexpensive but environmentally harmful and unhealthy food.

Description above from the Wikipedia article Robert Kenner, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Robert Kenner","California, U.S.",11.0
"",,,2,"Craig Johnson","Bellingham, Washington, USA",7.0
"",,,2,"Sean Durkin",,46.0
"",,,1,"Gillian Robespierre",,9.0
"From Wikipedia, the free encyclopedia

Courtney Hunt (born 1964 in Memphis, Tennessee) is an American screenwriter and film director. She has received much critical acclaim for her debut film, Frozen River, for which she has gained an Oscar nomination, two Independent Spirit nominations, and a Satellite Award nod for the film. Frozen River won a Grand Jury Prize for Dramatic Filmmaking at the 2008 Sundance Film Festival, which Hunt accepted.

Description above from the Wikipedia article Courtney Hunt, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,1,"Courtney Hunt","Memphis, Tennessee, USA",33.0
"",,,0,"Morgan Neville",,9.0
"From Wikipedia, the free encyclopedia.

Chris Paine is an American filmmaker. His most notable works to date as director are the documentaries Who Killed the Electric Car? and Revenge of the Electric Car?

Description above from the Wikipedia article Chris Paine, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Chris Paine",,2.0
"Greg Berlanti (born May 24, 1972) is an American television writer and producer.

Description above from the Wikipedia article Greg Berlanti, licensed under CC-BY-SA, full list of contributors on Wikipedia","1972-05-24",,2,"Greg Berlanti","Rye, New York",112.0
"",,,0,"Marc Levin",,12.0
"",,,2,"Richard Dutcher",,13.0
"",,,0,"Khalid Mohamed",,10.0
"","1958-07-04",,2,"Finn Taylor","Oakland, California, USA",4.0
"",,,0,"Gia Coppola",,71.0
"",,,0,"Scandar Copti","Jaffa, Tel Aviv, Israel",13.0
"From Wikipedia, the free encyclopedia

Goran Duki   is a Croatian film director, screenwriter and actor best known for writing and directing the 2006 film Wristcutters: A Love Story.

Description above from the Wikipedia article Goran Duki  , licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Goran Dukic","Zagreb, Croatia",21.0
"",,,2,"Mike Cahill",,135.0
"",,,0,"Efram Potelle",,2.0
"",,,0,"Joshua Oppenheimer",,50.0
"From Wikipedia, the free encyclopedia.   

Alex Gibney is an American documentary film director and producer. His works as director include Enron: The Smartest Guys in the Room (nominated in 2005 for Academy Award for Best Documentary Feature) The Human Behavior Experiments (2006), Jimi Hendrix and the Blues (2001), and Taxi to the Dark Side   (winner of the 2007 Academy Award for Best Documentary Feature) focusing on an innocent taxi driver in Afghanistan who was tortured and killed at Bagram Air Force Base in 2002. Casino Jack and the United States of Money, chronicles the life of disgraced Washington lobbyist Jack Abramoff (released in theaters May 7, 2010). A rough cut of an almost-finished documentary on Eliot Spitzer directed by Gibney, was shown on April 24, 2010 at the Tribeca Film Festival.   Client 9: The Rise and Fall of Eliot Spitzer opens in theaters Nov. 5, 2010; but will be released on Ultra-VOD on Oct. 1.

Description above from the Wikipedia article Alex Gibney, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1953-10-23",,2,"Alex Gibney","New York City, New York USA",141.0
"From Wikipedia, the free encyclopedia.

Paul Crowder is a British former musician turned movie editor and director. He was born 30 December 1962 in London, England.

Paul's career started as a musician and in 1980 joined Philip Jap as drummer.

Jap was signed to U.K's A&amp;M records in 1981 and recorded 1 album, the singles Save Us and Total Erasure got decent airplay and they both hovered on the cusp of the top 40.

Paul then became an assistant recording engineer at Advision Studios in 1983. Recording such tracks as Careless Whisper by George Michael and Last Christmas by Wham. Also recording Siouxsie and the Banshees Album Nocturne on their mobile recording unit.

In 1985 he joined the band The Adventures. Achieving a top 30 Album and a Top 20 single in the U.K.

In 1989 Paul moved to Los Angeles and started playing with Eric Burdon, formerly of The Animals, and Robbie Krieger, formerly of The Doors, later joined by Brian Auger on the keyboards.

1993 he started playing with Dave King and was a founder member of the very first version of Flogging Molly.

In 1994 Paul tried a change of career and got into television as an assistant editor, and by 1994 was editing prime time T.V.

Paul also tried a little acting and starred in an episode of the U.S. sitcom Ellen in 1996. As well as a bit part in the film The Big Empty where he played the legendary cornflake man!

During his time in T.V. he met Stacy Peralta.

Paul went on to edit Dogtown and Z-Boys and Riding Giants with director Stacy Peralta. Dogtown won the audience award and best director award at the Sundance film festival in 2001, and the Independent Spirit Award for Best Documentary in 2002.

Paul also garnered the A.C.E. Eddie for best edited documentary in 2004 for Riding Giants.

Paul co-directed and edited Once in a Lifetime: The Extraordinary Story of the New York Cosmos in 2006, and in 2007 co-directed and edited the definitive Who documentary Amazing Journey: The Story of The Who, which was nominated for a Grammy at the 2009 Grammy awards.

In 2008 he edited and co produced Morning Light for Walt Disney Pictures.

Description above from the Wikipedia article Paul Crowder (filmmaker), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-12-30",,2,"Paul Crowder","Los Angeles, California, USA",10.0
"",,,0,"Rohit Jagessar",,0.0
"","1935-06-02",,2,"Anthony Powell",,9.0
"","1970-05-12",,2,"Kief Davidson",,0.0
"",,,0,"Johnny Remo",,74.0
"",,,0,"Vivek Agnihotri",,5.0
"From Wikipedia, the free encyclopedia

Ti West (born October 5, 1980) is an American film director, best known for his work in horror films.

Description above from the Wikipedia article Ti West, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1980-10-05",,2,"Ti West","Wilmington, Delaware, U.S.A.",243.0
"",,,2,"Nick Tomnay",,11.0
"",,,2,"Nickolas Perry",,5.0
"",,,2,"Dan Zukovic","Vancouver, British Columbia, Canada",8.0
"",,,0,"Becky Smith",,32.0
"",,,0,"Eric Nicholas",,0.0
"",,,2,"Benjamin Dickinson",,4.0
"",,,0,"Hal Haberman",,0.0
"From Wikipedia, the free encyclopedia

Frank Joseph Whalley (born July 20, 1963) is an American film and television actor known for his roles in independent films.","1963-07-20",,2,"Frank Whaley","Syracuse - New York - USA",436.0
"","1979-02-28",,0,"Amat Escalante",,50.0
"",,,0,"Wajahat Rauf",,3.0
"From Wikipedia, the free encyclopedia.

Katherine Brooks (born March 15, 1976) is an American film writer and director.

Description above from the Wikipedia article Katherine Brooks, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-03-15",,1,"Katherine Brooks","Covington, Louisiana, USA",57.0
"From Wikipedia, the free encyclopedia.

David Cross (born April 4, 1964) is an American actor, writer and stand-up comedian perhaps best known for his work on HBO's sketch comedy series Mr. Show and for his role as Tobias F  nke in the Fox sitcom Arrested Development. Cross currently stars in The Increasingly Poor Decisions of Todd Margaret and recently had a recurring role in the 2010 FOX sitcom Running Wilde.","1964-04-04",,2,"David Cross","Atlanta - Georgia - USA",0.0
"",,,0,"Randall Rubin",,0.0
"",,,0,"Robert Bennett",,15.0
"",,,1,"Mary Pat Kelly",,3.0
"From Wikipedia, the free encyclopedia

Lori Petty (born October 14, 1963) is an American film and television actress best known for playing ""Tyler Endicott"" in Point Break in 1991, ""Kit Keller"" in A League of Their Own in 1992, and the title role in Tank Girl in 1995.

Description above from the Wikipedia article Lori Petty, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1963-10-14",,1,"Lori Petty","Chattanooga, Tennessee, USA",923.0
"","1982-12-25",,2,"Kevin Hamedani","Kent, Washington, USA",23.0
"A dual citizen of Canada and the USA, David DeCoteau has worked professionally in the movie business since he was 18 years old. He got his start through a generous offer from movie legend  Roger Corman, who hired him in 1980 as a production assistant at New World Pictures. In 1986, DeCoteau directed and produced his first feature film for another generous film legend,  Charles Band. DeCoteau has gone on to produce and direct more than fifty motion pictures over the past twenty years. His passion lies in the creation of popular genre programming made for world consumption. DeCoteau's experience in creating content in countries all over the world makes him a proven choice for exceptionally challenging movie projects. He resides in British Columbia, Canada and Hollywood, California.","1962-01-05",,2,"David DeCoteau","Portland, Oregon",142.0
"",,,0,"Mikel Rueda",,0.0
"",,,2,"Stefan C. Schaefer",,0.0
"","1961-08-23","2006-05-04",2,"Michael Taliferro","USA",105.0
"Kathryn ""Katie"" Aselton  is an American film director, producer, and actress from  Milbridge, Maine. She is married to her co-star on  The League,  Mark Duplass.","1978-10-01",,1,"Katie Aselton","Milbridge - Maine - USA",224.0
"",,,0,"Robert Heath",,0.0
"",,,0,"D. Stevens",,6.0
"",,,0,"Jeffrey St. Jules",,0.0
"",,,0,"Robert Hall",,53.0
"From Wikipedia, the free encyclopedia.

Elseen Leo Ralph Nelson (August 12, 1916     December 21, 1987) was an American movie and television director, producer, writer, and actor.

Description above from the Wikipedia article Ralph Nelson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1916-08-12","1987-12-21",2,"Ralph Nelson","New York City, New York",17.0
"",,,0,"Blair Erickson",,0.0
"",,,1,"Allison Burnett",,12.0
"From Wikipedia, the free encyclopedia.   

Richard Schenkman (born March 6, 1958) is an award-winning American screenwriter, film producer, film director and occasional actor. Throughout his career, he has frequently also been credited as ""George Axmith"".

Description above from the Wikipedia article  Richard Schenkman,    licensed under CC-BY-SA, full list of contributors on Wikipedia.","1958-03-06",,2,"Richard Schenkman","New York City, New York, U.S.",29.0
"",,,0,"Sanjay Rawal",,0.0
"",,,0,"Kat Coiro",,28.0
"Cristian Mungiu (b. 1968, Ia  i) is a Romanian filmmaker, winner of the Palme d'Or in 2007.

After studying English literature at the University of Ia  i, he worked for a few years as a teacher and as a journalist. After that, he enrolled at the University of Film in Bucharest to study film directing. After graduating in 1998, Mungiu made several short films. In 2002, he debuted with his first feature film, Occident. Occident enjoyed critical success, winning prizes in several film festivals and being featured in Director   s Fortnight at the 2002 Cannes Film Festival.

In 2007 Mungiu wrote and directed his second feature, 4 Months, 3 Weeks and 2 Days. The film was received enthusiastically, attracting critical praise and being selected in the official competition at the 2007 Cannes Film Festival, where it eventually won the coveted Palme d'Or for feature film, marking the first time that prize was awarded to a Romanian filmmaker.

Mungiu has said that early Milo   Forman and Robert Altman are important filmmakers who influenced him. He also respects the realism of Bicycle Thieves, among other famous realistic films. Mungiu is the brother of political analyst Alina Mungiu-Pippidi.

Description above from the Wikipedia article Cristian Mungiu, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1968-04-27",,2,"Cristian Mungiu","Iasi, Romania",163.0
"",,,0,"Brian Dorton",,171.0
"Maryam Keshavarz is an Iranian-American film writer, producer and director, best known for her feature film debut ""Circumstance"". 

She holds a BA in Comparative Literature from Northwestern University, Evanston, Illinois, an MA in Near Eastern Studies from the University of Michigan, Ann Arbor, and an MFA in Film Direction from New York University, Tisch School of the Arts, Manhattan, New York, USA. She was also a visiting scholar at the University of Shiraz, Iran, Department of Language and Literature.","1975",,1,"Maryam Keshavarz","New York City, New York, USA",32.0
"",,,0,"Ramaa Mosley",,6.0
"From Wikipedia, the free encyclopedia.

C. Jay Cox (born 1962 in Nevada) is an American director and screenwriter.

Description above from the Wikipedia article C. Jay Cox, licensed under CC-BY-SA, full list of contributors on Wikipedia","1962-01-01",,2,"C. Jay Cox",,6.0
"",,,0,"Mariette Monpierre",,0.0
"",,,2,"Tommy Oliver",,66.0
"",,,0,"Jamie Travis",,15.0
"","1956-10-02",,2,"Rich Christiano",,14.0
"",,,0,"Natalie Bible'",,8.0
"Asghar Farhadi (Persian:                         , Persian pronunciation:  [  s          f    h  di  ]; born 7 May 1972) is an Iranian film director and screenwriter.

For his work as a director, he has received a Golden Globe Award and an Academy Award for Best Foreign Language Film, among many other awards. He was named one of the 100 Most Influential People in the world by Time magazine in 2012.","1972-05-07",,2,"Asghar Farhadi","Hom  y  nshahr, Isfahan",0.0
"",,,0,"Justin Molotnikov",,5.0
"",,,0,"Daniel Davila",,0.0
"",,,0,"Jorge Gaggero",,0.0
"",,,1,"Catherine Jelski",,0.0
"",,,0,"Shane Dawson",,247.0
"From Wikipedia, the free encyclopedia.   

Ryan Little (born March 28, 1971) is an American movie director, cinematographer and producer. He was born in Vancouver, British Columbia, Canada, and attended Brigham Young University in Provo, Utah. He is a member of The Church of Jesus Christ of Latter-day Saints.

Description above from the Wikipedia article  Ryan Little,  licensed under CC-BY-SA, full list of contributors on Wikipedia.","1971-03-28",,2,"Ryan Little","Vancouver, British Columbia",38.0
"",,,0,"Clark Baker",,0.0
"From Wikipedia, the free encyclopedia

Matthew Gerard Maiellaro (Born August 17, 1966) is the co-creator and writer of the cult television animated Adult Swim shows, Aqua Teen Hunger Force and Perfect Hair Forever, and creator of 12 Oz. Mouse. He is a native of Pensacola, Florida, and a graduate of Pensacola Catholic High School.

Prior to his work on Aqua Teen Hunger Force, Maiellaro was a producer and writer for Space Ghost Coast to Coast since the show's inception in 1994. Maiellaro met friend and future writing partner, Dave Willis when Willis came on as a staff writer in 1995. The two have since made a few short independent films together, most notably the live-action short, A Day Off, which follows a Michael Myers puppet and documents what he does on his day off from murder.

In 2000, Maiellaro and Willis created a spin-off from Space Ghost Coast to Coast -- Aqua Teen Hunger Force. Seven years later, Maiellaro and Willis released a full-length Aqua Teen Hunger Force feature film on April 13, 2007. His writing is characterized by surreal humour and at times, a total disregard for traditional forms of storytelling.

Description above from the Wikipedia article Matt Maiellaro, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-08-17",,0,"Matt Maiellaro","Pensacola, Florida, U.S.A.",8.0
"Ben Wheatley (born 1972) Animator, Director of internet viral ads, TV idents, TV adverts TV comedy shows and feature films.",,,2,"Ben Wheatley",,214.0
"",,,0,"Oliver Blackburn",,4.0
"",,,0,"Christopher Hutson",,3.0
"From Wikipedia, the free encyclopedia.

David LaChapelle   (born March 11, 1963 in Fairfield, Connecticut) is a photographer and director who works in the fields of fashion, advertising, and fine art photography, and is noted for his surreal, unique, sexualized, and often humorous style.

Description above from the Wikipedia article David LaChapelle, licensed under CC-BY-SA, full list of contributors on Wikipedia","1963-03-11",,2,"David LaChapelle","Fairfield, Connecticut, USA",30.0
"",,,0,"Caryn Waechter",,0.0
"",,,0,"Emily Dell",,0.0
"From Wikipedia, the free encyclopedia.

Ryan K. Fleck (born September 20, 1976) is an American film director, cinematographer, editor, and screenwriter best known for directing and writing the 2006 film Half Nelson and the 2008 film Sugar. He is known for his collaborations with fellow filmmaker Anna Boden.

Description above from the Wikipedia article Ryan Fleck, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-09-20",,2,"Ryan Fleck","Berkeley, California, USA",31.0
"",,,0,"Jennifer Wynne Farmer",,0.0
"",,,2,"Christopher Scott Cherot",,21.0
"",,,0,"Randy Moore",,13.0
"",,,0,"Chris Atkins",,2.0
"",,,2,"Bill Benenson",,0.0
"",,,0,"Ryan Smith",,4.0
"",,,0,"Travis Romero",,4.0
"",,,0,"Anna Mastro",,7.0
"From Wikipedia, the free encyclopedia.  Mark Sandrich (birth name: Mark Rex Goldstein) (October 26, 1900     March 4, 1945) was a Jewish American film director, writer and producer.

One of the most gifted and least heralded directors of the 1930s and early 1940s, Sandrich was an engineering student at Columbia University when he started the movie business by accident. When visiting a friend on a film set, he saw that the director had a problem in setting up a shot; Sandrich offered his advice. It worked. He then entered into the movies in the prop department, and became a director specializing in several comedy shorts in 1927. He then made his first feature the next year, but returned to shorts after the sound arrival. In 1933 he directed the Academy Award-winning short, So This Is Harris!. He later returned to feature films, most notably comedies, starring the team of Bert Wheeler and Robert Woolsey in Hips, Hips, Hooray!. In 1934, Sandrich soon got his first directing assignment on the Fred Astaire/Ginger Rogers musical The Gay Divorcee, which proved a success.

The following year, he directed what is widely regarded as the best movie ever made by the legendary dance team, Top Hat, which excelled in every department, including music and choreography. It was all pulled together seamlessly by Sandrich. After that, several other movies such as Follow the Fleet, Shall We Dance, and Carefree followed. In 1940, Sandrich left RKO for Paramount, which offered him a chance to be not only a director but as well as a producer. He made other several successful films in this capacity, including two with Jack Benny, Buck Benny Rides Again and Love Thy Neighbor, both released in 1940, and the romantic comedy Skylark, starring Claudette Colbert and Ray Milland. However, while all these were hits, it was Holiday Inn in 1942 starring Fred Astaire and Bing Crosby, with music by Irving Berlin that showed Sandrich at his best. The musical/comedy actually started on the eve of America's entry into World War II. It featured sufficient serious overtones to capture the mood of the time, and showed Crosby and Astaire to brilliant advantage as performers who are rivals for the same woman; and it introduced the song ""White Christmas"", highlighted by the crooner Crosby which remained the biggest selling popular song in history for fifty-two years. So Proudly We Hail! was a Sandrich-produced and directed adaptation of the hit play. It was extremely popular and successful, and featured a pair of performers     Adrian Booth and George Reeves -- whom Sandrich had intended to bring to stardom after the war. However, it wasn't to be.

In 1945, while in pre-production on a follow up to Holiday Inn called Blue Skies, starring Bing Crosby and featuring Irving Berlin's music, and serving as president of the Directors Guild, Sandrich died suddenly, of heart failure. He was at this time one of the most trusted and influential directors in Hollywood, respected by his colleagues and the studio management. His sons Mark Sandrich Jr. and Jay Sandrich have gone onto successful careers as directors. His interment was located at Home of Peace Cemetery.

Description above from the Wikipedia article Mark Sandrich, licensed under CC-BY-SA,full list of contributors on Wikipedia.","1901-10-26","1945-03-04",2,"Mark Sandrich","New York City, New York, USA",10.0
"From Wikipedia, the free encyclopedia.

Daniel Myrick (born November 30, 1962) is an American director most famous for co-directing and writing the 1999 film The Blair Witch Project with Eduardo S  nchez, for which they won the Independent Spirit John Cassavetes Award.

Description above from the Wikipedia article Daniel Myrick, licensed under CC-BY-SA, full list of contributors on Wikipedia","1962-11-30",,2,"Daniel Myrick","Sarasota, Florida, USA",19.0
